iter	Passed	Remaining
0	138	138395
1	139	69748
2	141	47023
3	142	35543
4	143	28654
5	145	24058
6	147	20859
7	148	18396
8	149	16482
9	151	14950
10	152	13715
11	154	12685
12	155	11795
13	156	11033
14	158	10380
15	159	9814
16	160	9303
17	162	8842
18	163	8434
19	165	8088
20	166	7756
21	167	7454
22	169	7182
23	170	6952
24	172	6717
25	173	6500
26	174	6293
27	175	6104
28	177	5946
29	178	5784
30	180	5632
31	181	5484
32	182	5353
33	184	5236
34	185	5112
35	186	4993
36	187	4876
37	188	4772
38	189	4671
39	190	4572
40	191	4477
41	192	4387
42	193	4298
43	194	4215
44	195	4139
45	196	4065
46	196	3992
47	197	3920
48	198	3853
49	199	3787
50	200	3722
51	201	3668
52	202	3610
53	202	3554
54	203	3499
55	204	3446
56	205	3394
57	206	3345
58	207	3308
59	208	3261
60	208	3215
61	209	3171
62	210	3129
63	211	3087
64	211	3046
65	212	3008
66	213	2977
67	214	2941
68	215	2904
69	215	2869
70	216	2835
71	217	2801
72	218	2769
73	219	2742
74	220	2714
75	220	2685
76	221	2657
77	222	2629
78	223	2601
79	223	2573
80	224	2547
81	225	2523
82	226	2497
83	226	2472
84	227	2449
85	228	2426
86	228	2402
87	229	2380
88	230	2359
89	231	2338
90	232	2320
91	233	2300
92	233	2280
93	234	2260
94	235	2241
95	236	2222
96	236	2203
97	237	2184
98	238	2168
99	239	2152
100	239	2135
101	240	2118
102	241	2102
103	242	2086
104	242	2070
105	243	2055
106	244	2044
107	245	2028
108	246	2014
109	247	2000
110	247	1985
111	248	1972
112	249	1958
113	250	1948
114	251	1935
115	252	1923
116	252	1908
117	253	1896
118	254	1883
119	255	1871
120	255	1859
121	256	1847
122	257	1835
123	258	1823
124	258	1812
125	259	1802
126	260	1790
127	261	1781
128	262	1771
129	263	1764
130	264	1754
131	265	1744
132	266	1734
133	266	1724
134	267	1714
135	268	1704
136	269	1698
137	270	1690
138	271	1680
139	272	1671
140	272	1662
141	273	1651
142	274	1643
143	274	1634
144	275	1626
145	276	1617
146	277	1610
147	278	1602
148	279	1594
149	279	1585
150	280	1578
151	281	1571
152	282	1563
153	283	1556
154	284	1549
155	284	1541
156	285	1533
157	286	1526
158	287	1518
159	288	1513
160	288	1505
161	289	1498
162	290	1490
163	291	1483
164	291	1476
165	292	1469
166	293	1462
167	294	1457
168	295	1451
169	295	1444
170	296	1437
171	297	1431
172	298	1425
173	298	1419
174	299	1412
175	301	1409
176	301	1403
177	302	1397
178	303	1390
179	303	1384
180	304	1378
181	305	1372
182	306	1367
183	307	1365
184	308	1360
185	309	1354
186	310	1348
187	310	1343
188	311	1338
189	312	1333
190	313	1329
191	314	1324
192	315	1318
193	316	1313
194	316	1308
195	317	1302
196	318	1297
197	319	1294
198	320	1289
199	320	1283
200	321	1278
201	322	1274
202	323	1269
203	323	1264
204	324	1259
205	325	1255
206	326	1250
207	327	1245
208	327	1241
209	328	1236
210	329	1232
211	330	1227
212	330	1222
213	332	1220
214	332	1215
215	333	1211
216	334	1207
217	335	1202
218	335	1197
219	336	1193
220	337	1190
221	338	1186
222	339	1182
223	340	1178
224	340	1173
225	341	1169
226	342	1165
227	342	1161
228	343	1158
229	344	1154
230	345	1150
231	346	1146
232	347	1142
233	347	1139
234	348	1135
235	349	1132
236	350	1129
237	351	1124
238	352	1121
239	352	1117
240	353	1113
241	354	1109
242	355	1106
243	356	1103
244	357	1100
245	357	1096
246	358	1093
247	359	1089
248	360	1086
249	361	1083
250	362	1081
251	363	1078
252	364	1075
253	365	1072
254	366	1069
255	366	1066
256	367	1063
257	368	1060
258	369	1057
259	370	1054
260	371	1051
261	372	1047
262	372	1044
263	373	1041
264	374	1038
265	375	1036
266	376	1033
267	377	1030
268	377	1027
269	378	1023
270	379	1021
271	380	1018
272	382	1018
273	383	1014
274	383	1011
275	384	1008
276	385	1005
277	385	1002
278	386	999
279	387	997
280	388	994
281	389	991
282	390	988
283	391	985
284	391	982
285	392	980
286	393	977
287	394	975
288	395	972
289	395	969
290	396	966
291	397	963
292	398	960
293	398	957
294	399	955
295	400	952
296	401	950
297	402	947
298	402	944
299	403	941
300	404	939
301	405	936
302	405	933
303	406	931
304	407	928
305	408	925
306	409	923
307	409	920
308	410	917
309	411	915
310	412	913
311	413	910
312	413	908
313	414	905
314	415	903
315	416	900
316	416	897
317	417	895
318	418	893
319	419	890
320	420	888
321	420	885
322	421	883
323	422	881
324	423	878
325	423	876
326	424	874
327	425	872
328	426	870
329	427	867
330	428	865
331	428	862
332	429	860
333	430	858
334	431	855
335	431	853
336	432	851
337	433	848
338	434	846
339	435	844
340	436	842
341	436	840
342	437	838
343	438	835
344	439	833
345	439	831
346	440	828
347	441	826
348	441	824
349	442	822
350	443	820
351	444	818
352	445	816
353	446	814
354	447	812
355	447	810
356	448	808
357	449	806
358	450	804
359	451	802
360	452	800
361	452	798
362	453	795
363	454	793
364	455	792
365	456	790
366	456	788
367	457	785
368	458	783
369	459	781
370	460	779
371	460	777
372	461	776
373	462	774
374	463	772
375	464	770
376	465	768
377	465	766
378	466	764
379	467	763
380	468	761
381	469	759
382	470	757
383	470	755
384	471	753
385	472	751
386	473	749
387	474	748
388	475	746
389	475	744
390	476	742
391	477	740
392	478	738
393	478	736
394	479	735
395	480	733
396	481	731
397	482	730
398	483	728
399	484	726
400	484	724
401	485	722
402	486	720
403	487	719
404	488	717
405	489	715
406	489	713
407	490	711
408	491	709
409	492	708
410	492	706
411	493	704
412	494	702
413	495	701
414	495	699
415	496	697
416	497	695
417	498	693
418	499	692
419	500	690
420	501	689
421	501	687
422	502	685
423	503	684
424	504	682
425	505	681
426	506	679
427	507	677
428	507	676
429	508	674
430	509	672
431	510	671
432	511	669
433	512	668
434	513	666
435	513	664
436	514	662
437	515	661
438	516	660
439	517	658
440	518	657
441	519	655
442	519	653
443	520	652
444	521	650
445	522	648
446	523	647
447	524	646
448	525	644
449	526	643
450	527	641
451	528	640
452	528	638
453	530	637
454	531	636
455	531	634
456	532	632
457	533	631
458	534	629
459	535	628
460	536	627
461	537	626
462	538	624
463	539	623
464	540	621
465	540	619
466	541	618
467	542	617
468	543	615
469	544	614
470	545	612
471	546	610
472	546	609
473	547	607
474	548	606
475	549	605
476	550	603
477	551	601
478	552	600
479	552	598
480	553	597
481	554	595
482	555	594
483	556	593
484	557	591
485	557	589
486	558	588
487	559	586
488	560	585
489	561	584
490	562	582
491	563	581
492	563	579
493	564	578
494	565	576
495	565	575
496	566	573
497	573	578
498	574	576
499	575	575
500	576	573
501	576	572
502	577	570
503	578	569
504	578	567
505	579	565
506	580	564
507	581	563
508	582	561
509	583	560
510	583	558
511	584	557
512	585	555
513	586	554
514	587	553
515	588	551
516	588	550
517	589	548
518	590	547
519	591	545
520	591	544
521	593	543
522	594	541
523	594	540
524	595	538
525	596	537
526	597	536
527	597	534
528	598	533
529	599	531
530	600	530
531	601	529
532	602	527
533	603	526
534	603	524
535	604	523
536	605	522
537	606	520
538	607	519
539	607	517
540	608	516
541	609	514
542	610	513
543	611	512
544	612	510
545	612	509
546	613	508
547	614	506
548	615	505
549	615	503
550	616	502
551	617	501
552	618	500
553	619	498
554	620	497
555	620	495
556	621	494
557	622	492
558	623	491
559	624	490
560	625	489
561	626	488
562	626	486
563	627	485
564	628	483
565	629	482
566	630	481
567	631	480
568	631	478
569	632	477
570	633	476
571	634	474
572	635	473
573	636	472
574	637	470
575	637	469
576	638	468
577	639	466
578	640	465
579	640	464
580	641	462
581	642	461
582	643	460
583	644	458
584	645	457
585	645	456
586	646	454
587	647	453
588	647	452
589	648	450
590	649	449
591	650	448
592	651	447
593	652	445
594	652	444
595	653	442
596	654	441
597	655	440
598	656	439
599	656	437
600	657	436
601	658	435
602	659	433
603	659	432
604	660	431
605	661	430
606	662	428
607	662	427
608	663	426
609	664	424
610	664	423
611	665	422
612	666	420
613	667	419
614	668	418
615	668	417
616	669	415
617	670	414
618	671	413
619	671	411
620	672	410
621	673	409
622	674	408
623	675	406
624	676	405
625	676	404
626	677	403
627	678	401
628	679	400
